Date,Open,High,Low,Close,Volume,Market Cap
Oct-16-2019,8174.179979,8182.888776,7951.452174,8008.809279,14890138553,1.45296E+11
Oct-17-2019,8003.417786,8112.721654,7948.820153,8075.178241,14962001431,1.44617E+11
Oct-18-2019,8073.200475,8108.729808,7880.418128,7955.464771,14689333202,1.43396E+11
Oct-19-2019,7952.31,8026.427782,7916.211745,7950.124308,13469121764,1.43247E+11
Oct-20-2019,7954.616127,8254.275408,7900.438614,8202.005473,13689730160,1.44207E+11
Oct-21-2019,8211.3414,8269.43758,8162.813049,8212.771665,15370372085,1.47892E+11
Oct-22-2019,8215.031227,8278.600259,8027.920376,8040.006229,15044562473,1.47576E+11
Oct-23-2019,8036.487927,8052.26433,7398.577412,7469.521063,17812755886,1.39696E+11
Oct-24-2019,7480.706886,7500.371453,7377.740725,7440.037915,18981331416,1.34167E+11
Oct-25-2019,7432.693138,8678.88228,7421.365392,8651.13445,18738952734,1.41683E+11
Oct-26-2019,8652.608009,10112.45209,8651.282624,9235.929531,46466597085,1.67435E+11
Oct-27-2019,9235.005228,9722.660858,9096.936235,9544.094411,33550698245,1.69004E+11
Oct-28-2019,9535.718921,9820.904166,9234.267439,9234.267439,35593127803,1.70469E+11
Oct-29-2019,9232.769631,9503.154821,9195.925004,9411.885318,28823080713,1.68919E+11
Oct-30-2019,9408.955443,9408.955443,9041.091175,9162.391745,27636488312,1.6565E+11
Oct-31-2019,9155.155924,9326.323804,8977.505325,9154.923648,24122194386,1.65062E+11
Nov-01-2019,9147.03537,9259.64492,9061.564215,9225.753942,23423542843,1.64829E+11
Nov-02-2019,9229.521818,9337.917917,9206.694125,9290.257019,21641092219,1.66975E+11
Nov-03-2019,9289.892888,9353.715863,9106.312351,9205.743201,19491017666,1.66092E+11
Nov-04-2019,9201.271373,9465.447837,9140.776085,9389.905541,20013705970,1.66673E+11
Nov-05-2019,9383.924655,9427.610415,9199.030247,9311.283797,25633993748,1.68167E+11
Nov-06-2019,9305.755651,9407.765235,9264.370002,9329.520807,22773683291,1.68097E+11
Nov-07-2019,9320.858527,9351.507682,9154.517522,9219.011987,21386732951,1.66692E+11
Nov-08-2019,9217.490864,9252.359776,8741.358472,8791.640946,22392277632,1.62396E+11
Nov-09-2019,8790.379451,8878.660849,8761.105475,8818.432264,20903331342,1.59149E+11
Nov-10-2019,8814.218854,9084.836687,8769.040651,9043.004449,18865154159,1.60406E+11
Nov-11-2019,9037.812387,9064.516857,8657.677709,8732.154123,21474225431,1.59019E+11
Nov-12-2019,8737.614064,8823.837603,8630.703843,8801.603779,18549053911,1.57865E+11
Nov-13-2019,8807.509312,8807.509312,8727.530744,8785.801623,18311776805,1.58126E+11
Nov-14-2019,8783.686953,8794.527283,8620.686438,8662.422431,18018026601,1.56751E+11
Nov-15-2019,8659.294178,8726.808563,8450.877864,8474.539002,19571089078,1.54557E+11
Nov-16-2019,8477.049472,8524.798061,8457.825819,8497.411045,18266153675,1.53144E+11
Nov-17-2019,8498.554736,8591.874089,8420.023738,8503.049435,16068981644,1.53815E+11
Nov-18-2019,8504.159202,8504.159202,8177.459129,8211.789693,18122849024,1.51684E+11
Nov-19-2019,8204.164187,8216.662931,8043.453752,8134.76958,21641717591,1.4693E+11
Nov-20-2019,8138.290662,8179.756406,8066.844847,8097.187492,18743906406,1.46513E+11
Nov-21-2019,8101.95212,8126.008723,7574.878248,7631.016803,19580512635,1.42189E+11
Nov-22-2019,7632.87377,7688.688082,6915.817984,7290.351828,28409580486,1.32784E+11
Nov-23-2019,7278.817251,7332.279035,7108.065159,7316.797515,28070277490,1.3071E+11
Nov-24-2019,7310.162693,7325.983704,6932.313157,6932.313157,19688077433,1.29213E+11
Nov-25-2019,6931.499194,7345.91293,6583.225112,7133.946458,28072860618,1.25899E+11
Nov-26-2019,7126.953914,7312.507516,7058.832882,7169.264738,25274129965,1.29101E+11
Nov-27-2019,7161.296598,7628.132238,6885.235982,7502.033156,21528088249,1.30984E+11
Nov-28-2019,7514.018761,7616.178611,7405.172244,7442.795358,23196231679,1.35794E+11
Nov-29-2019,7434.173194,7797.008351,7431.608269,7740.415549,19637751266,1.37457E+11
Nov-30-2019,7743.650338,7776.992171,7481.732584,7548.613483,18558072917,1.38308E+11
Dec-01-2019,7551.709861,7551.709861,7276.632369,7417.184162,19448581691,1.33057E+11
Dec-02-2019,7405.658938,7419.104008,7209.443282,7315.108657,17497508155,1.32231E+11
Dec-03-2019,7307.988592,7384.127711,7267.859219,7300.208311,14980928828,1.32345E+11
Dec-04-2019,7297.072604,7551.495024,7118.390082,7216.456163,17283223592,1.31562E+11
Dec-05-2019,7200.13978,7456.145389,7188.051036,7386.510063,21771942873,1.32494E+11
